NombreLeccion,CanalYouTube,UrlYouTube,CursoNombre,CursoUrl,CursoId,LeccionId
Cómo diseñar el émbolo,Benjamín Miranda Tamayo,https://youtube.com/watch?v=5MVbaS5k-mc,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109924
Cómo diseñar el cilindro,Benjamín Miranda Tamayo,https://youtube.com/watch?v=cm867Hho8BQ,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109926
Cómo diseñar el cigüeñal,Benjamín Miranda Tamayo,https://youtube.com/watch?v=J6PmWYKwg5I,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109922
Cómo diseñar el aspa,Benjamín Miranda Tamayo,https://youtube.com/watch?v=jGB_takGZTE,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109928
Ensamble de motor radial,Benjamín Miranda Tamayo,https://youtube.com/watch?v=KAbvNUfvc_8,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109929
Cómo diseñar la tapa,Benjamín Miranda Tamayo,https://youtube.com/watch?v=LuyUC4T3hSs,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109972
Cómo diseñar la biela madre,Benjamín Miranda Tamayo,https://youtube.com/watch?v=txcnY94XROg,Diplomado en Modelado con Catia,https://edutin.com/curso-de-catia-2016,2016,109923
Evolución de los Sistemas Operativos,Benjamin Vargas R.,https://youtube.com/watch?v=nzo-lRRyWIs,Diplomado en Sistema Operativo Windows,https://edutin.com/curso-de-windows,3581,147135
Historia de Docker,Beny White,https://youtube.com/watch?v=WvprX6Y7pjA,Docker Profesional,https://edutin.com/curso-de-docker-3986,3986,138532
Concepto de Docker y sus ventajas,BettaTech,https://youtube.com/watch?v=Uu49ID0NBRQ,Docker Profesional,https://edutin.com/curso-de-docker-3986,3986,138533
La naturaleza de Microsoft Outlook,Bi_Learning,https://youtube.com/watch?v=AByaHJ7dxDY,Diplomado en Microsoft Outlook,https://edutin.com/curso-de-outlook-1925,1925,145273
Google Docs,Bi_Learning,https://youtube.com/watch?v=JO2PM9irRKw,Google Drive,https://edutin.com/curso-de-drive-3988,3988,141498
Cámaras,Bibliocad,https://youtube.com/watch?v=KOCM2-SRb3A,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104444
Utilizando la paleta Navegador de Proyectos,Bimmax - Gonzalo Ruiz,https://youtube.com/watch?v=BTd0fesshKQ,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104346
Componentes in Situ,Bimmax - Gonzalo Ruiz,https://youtube.com/watch?v=ecisZsp9ZkE,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104439
"Categorías, familias y tipos",Bimmax - Gonzalo Ruiz,https://youtube.com/watch?v=tOOLYpu6CTI,Diplomado en Revit,https://edutin.com/curso-de-revit-4334,4334,104322
"Superficies, materiales y compuestos",BIMTECH SOLUTIONS,https://youtube.com/watch?v=_J_X51_o6f0,Diplomado en ArchiCAD,https://edutin.com/curso-de-archicad-4346,4346,105473
